2023-09-28 17:06: attention_dropout: 0.3
2023-09-28 17:06: batch_size: 128
2023-09-28 17:06: cuda: True
2023-09-28 17:06: dataset: 'ogbn-products'
2023-09-28 17:06: debug: False
2023-09-28 17:06: device: 'cuda:2'
2023-09-28 17:06: dropout: 0.5
2023-09-28 17:06: encoder_attention_heads: 8
2023-09-28 17:06: encoder_embed_dim: 512
2023-09-28 17:06: encoder_ffn_embed_dim: 256
2023-09-28 17:06: encoder_normalize_before: False
2023-09-28 17:06: epoch: 1000
2023-09-28 17:06: gnn_hidden_dim: 512
2023-09-28 17:06: gw_ratio: 0.3
2023-09-28 17:06: init_memory: False
2023-09-28 17:06: log_dir: 'experiments_rebuttal'
2023-09-28 17:06: log_step: 20
2023-09-28 17:06: lr: 0.001
2023-09-28 17:06: mem_slots: 16
2023-09-28 17:06: mode: 'train'
2023-09-28 17:06: model: 'GCN_GW'
2023-09-28 17:06: node2vec_emb_dim: 128
2023-09-28 17:06: null_attention: False
2023-09-28 17:06: num_layers: 2
2023-09-28 17:06: num_parts: 15000
2023-09-28 17:06: num_steps: 3
2023-09-28 17:06: regressive: False
2023-09-28 17:06: seed: 1
2023-09-28 17:06: self_attention: True
2023-09-28 17:06: shared_memory_attention: True
2023-09-28 17:06: test_ratio: 0.2
2023-09-28 17:06: topk: 3
2023-09-28 17:06: topk_ratio: 1.0
2023-09-28 17:06: train_ratio: 0.6
2023-09-28 17:06: use_nfm: False
2023-09-28 17:06: use_topk: False
2023-09-28 17:06: valid_ratio: 0.2
2023-09-28 21:56: test acc: 0.8921902179718018
2023-09-28 22:03: epoch:429/1000 loss: 0.31036848742216794
2023-09-28 22:03: test acc: 0.891904354095459
2023-09-28 22:10: epoch:439/1000 loss: 0.3097326262439274
2023-09-28 22:10: test acc: 0.8927169442176819
2023-09-28 22:17: epoch:449/1000 loss: 0.3093466896566737
2023-09-28 22:17: test acc: 0.8929660320281982
2023-09-28 22:24: epoch:459/1000 loss: 0.30901505103550964
2023-09-28 22:24: test acc: 0.8919329643249512
2023-09-28 22:31: epoch:469/1000 loss: 0.3088025031786691
2023-09-28 22:31: test acc: 0.8923025131225586
2023-09-28 22:38: epoch:479/1000 loss: 0.3079490185440901
2023-09-28 22:38: test acc: 0.8920411467552185
2023-09-28 22:45: epoch:489/1000 loss: 0.30821165744258916
2023-09-28 22:45: test acc: 0.8920758962631226
2023-09-28 22:52: epoch:499/1000 loss: 0.30740485812289925
2023-09-28 22:52: test acc: 0.891998291015625
2023-09-28 22:59: epoch:509/1000 loss: 0.30782100131572565
2023-09-28 22:59: test acc: 0.8923413157463074
2023-09-28 23:06: epoch:519/1000 loss: 0.30757863229357135
2023-09-28 23:06: test acc: 0.8918084502220154
2023-09-28 23:13: epoch:529/1000 loss: 0.3071039142025515
2023-09-28 23:13: test acc: 0.8919452428817749
2023-09-28 23:20: epoch:539/1000 loss: 0.30784957437371047
2023-09-28 23:20: test acc: 0.891724705696106
2023-09-28 23:27: epoch:549/1000 loss: 0.30687460452366155
